SMILES,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20
CCCCn1cc[n+](COCCCCCCOC[n+]2ccn(CCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,2.54,39.4,2.53e-06,0.65,32.6,2.83078087061117
CCCn1cc[n+](COCCCCCOC[n+]2ccn(CCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,2.41,55.7,2.6e-06,0.62,16.3,2.326910875159
Cn1cc[n+](COCCCCCOC[n+]2ccn(C)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,2.25000000000001,58.5,2.68e-06,0.58,13.5,2.10838985379056
CCCC(CCC)(CCC)[Si]O[Si](C)(CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si]C(CCC)(CCC)CCC,non-ionic,25.0,3.69897000433602,31.1,1.28e-06,1.3,40.9,5.69
CCCCCCCCC(O)CO,non-ionic,25.0,2.63827216398241,23.2,5.1e-06,0.33,48.6,3.59
CCCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCCOCCOCC,non-ionic,25.0,4.56863623584101,35.3,2.78e-06,0.6,36.7,5.62
CCCCCCCCCCCCCCCCN(C)C(=O)COCOCOCO,non-ionic,20.0,5.11125903931711,33.5,3.65e-06,0.454942210184616,38.5,6.11
CCCCCCCCCCCCCCN(C)C(=O)COCOCOCO,non-ionic,20.0,4.62708799702989,34.2,3.97e-06,0.418271805333463,37.8,5.55
CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCSCC[Si](C)(O[Si](C)(C)c1cc[c]cc1)O[Si](C)(C)c1cc[c]cc1,non-ionic,25.0,4.61798295742513,40.4,9.7e-07,1.71,32.1,6.43
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCSCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,non-ionic,25.0,3.83863199776503,21.5,3.48e-06,0.44,51.0,5.31
COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCSCCC[Si](O[Si]C(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,non-ionic,25.0,4.01010543628123,21.2,3.08e-06,0.54,51.3,5.84
CCCCCCCC(CC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,25.0,2.07058107428571,27.0,3.13e-06,0.53,44.97,3.46962945905344
CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,sugar-based non-ionic,20.0,4.49485002168009,34.8,3.84e-06,0.43,38.0,5.4
CCCCCCCCCCC(=O)OC(O)[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](O[C@]4(CO)O[C@H](CO)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,sugar-based non-ionic,20.0,2.63827216398241,43.0,2.31e-06,0.72,29.75,3.33235692283769
CCCCCCCCCCCC(=O)N(C)CC(O)CO,sugar-based non-ionic,25.0,3.63827216398241,38.1,4.14e-06,0.4,33.9,3.29
CCCCCCCCCCOC1CC(O)C(OC2OC(CO)C(O)C(O)C2O)C(CO)O1,sugar-based non-ionic,25.0,2.69897000433602,35.6,2.97e-06,0.56,36.4,3.66618820887336
CCCCCCCCCCSC1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,20.0,4.63827216398241,29.5,4.95e-06,0.34,43.25,5.4
CCCCCCCCSC1OC(CO)C(O)C(O)C1O,sugar-based non-ionic,20.0,2.07058107428571,28.7,3.06e-06,0.59,44.9,3.42707068851475
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)([O-])[O-])cc1.[Na+].[Na+],anionic,25.0,1.77006231409207,,,,,
CCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,2.19997064075587,,,,,
CCCCCCCC(CCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.76396685288236,,,,,
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCC.[Na+],anionic,25.0,2.41998788747058,,,,,
CCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25.0,1.88605664769316,,,,,
CCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],anionic,25.0,2.36703683183274,,,,,
CCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],anionic,25.0,2.64781748188864,,,,,
CCCCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25.0,3.2800061736324,,,,,
CCCCCCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],anionic,40.0,2.73494621149599,,,,,
CCCCCCCCCCCCCC(CCS(=O)(=O)[O-])OC.[Na+],anionic,25.0,3.4719836588108,,,,,
CCCCCCCCCCCCCC(CCS(=O)(=O)[O-])OCCC.[Na+],anionic,25.0,4.08900228368936,,,,,
CCCCCCCCCCCCCC(OCC)(OCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.07001940948449,,,,,
CCCCCCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25.0,3.12499664639996,,,,,
CCCCCCCCCCCCCCCC(OCC)(OCC)OS(=O)(=O)[O-].[Na+],anionic,25.0,3.62800908853509,,,,,
CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,4.30102999566398,,,,,
CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.55284196865778,,,,,
CCCCCCCCCCCCS(=O)(=O)[O-].CCC[N+](CCC)(CCC)CCC,anionic,25.0,2.65757731917779,,,,,
CCCCCCCCCCCOCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.53760200210104,,,,,
CCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,0.495937117321308,,,,,
CCCCCc1ccc(C[C@H](Nc2ccc(S(=O)(=O)[O-])cc2)C(=O)O)cc1.[Na+],anionic,25.0,1.85387196432176,,,,,
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,1.52287874528034,,,,,
CCCCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],cationic,25.0,3.61978875828839,,,,,
CCCCCCCCCCCCCCCCCCc1cc[nH+]cc1.[Cl-],cationic,25.0,3.61978875828839,,,,,
CCCCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],cationic,25.0,2.50863830616573,,,,,
CCCCCCCCCCOCC[N+]1CCCCC1.[Cl-],cationic,25.0,1.59176003468815,,,,,
CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],cationic,25.0,1.4089353929735,,,,,
CCCCCCCCCCC(CSCCSCC(CCCCCCCCCC)[n+]1ccccc1)[n+]1ccccc1.[Br-].[Br-],gemini cationic,25.0,3.36703683183274,,,,,
CCCCCCCCCCCC(=O)OCC(C)[N+](C)(C)CC(O)CN(CCCCCCCC)CC(O)C[N+](C)(C)C(C)COC(=O)CCCCCCCCCCC.[Cl-].[Cl-],gemini cationic,25.0,4.26696331706642,,,,,
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,4.58502665202918,,,,,
CCCCCCCCCCCCCCCC[N+](C)(C)CCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,4.4437,,,,,
CCCCCCCCCCCCCCOC(=O)C[n+]1ccc(CCCc2cc[n+](CC(=O)OCCCCCCCCCCCCCC)cc2)cc1.[Cl-].[Cl-],gemini cationic,25.0,3.8419392060634,,,,,
CCCCCCCCCCCC[N+](C)(C)C(=O)NCCNC(=O)[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],gemini cationic,25.0,3.02701077314465,,,,,
CCCCCCCCCCCC[N+](C)(C)CCC(O)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,3.02701077314465,,,,,
CCCCCCCCCCCC[N+](C)(C)CCOCCOCCOCCOCCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,2.91010000000003,,,,,
CCCCCCCCCCCC[N+](C)(C)CCOCCOCC[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,3.03620000000002,,,,,
CCCCCCCCCCCC[N+]1(CCCCCCCCCC[N+]2(CCCCCCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],gemini cationic,25.0,3.30102999566398,,,,,
CCCCCCCCCCCC[n+]1ccccc1CCCc1cccc[n+]1CCCCCCCCCCCC.CS(=O)(=O)[O-].CS(=O)(=O)[O-],gemini cationic,25.0,2.68006156001969,,,,,
CCCCCCCCCC[N+](C)(C)CC(O)CC(O)[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,2.4318,,,,,
CCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,2.65760000000001,,,,,
CCCCCCCCC[N+](C)(C)CCCCNC[N+](C)(C)CCCCCCCCC.[Br-].[Br-],gemini cationic,25.0,1.7447,,,,,
CCCCCCCCC[N+]1(CCC#CCC[N+]2(CCCCCCCCC)CCCCC2)CCCCC1.[Br-].[Br-],gemini cationic,25.0,1.3206,,,,,
CCCCCCCC[N+](C)(C)CC#CC[N+](C)(C)CCCCCCCC.[Br-].[Br-],gemini cationic,25.0,1.5935,,,,,
CCCCCCCC[N+](C)(C)CCCCO[N+](C)(C)CCCCCCCC.[Br-].[Br-],gemini cationic,25.0,1.3565,,,,,
CCCCCCCC[N+]1(CC#CC[N+]2(CCCCCCCC)CCCC2)CCCC1.[Br-].[Br-],gemini cationic,25.0,1.45001638884031,,,,,
CCCCCCCCn1cc[n+](CC(O)C[n+]2ccn(CCCCCCCC)c2)c1.[Cl-].[Cl-],gemini cationic,25.0,2.36001575195841,,,,,
CCCCCCC=COOCCOCCOCCOCCOCCOCC,non-ionic,25.0,1.66999229912724,,,,,
CCCCCCCCC=COOCCOCCOCCOCCOCCOCC,non-ionic,25.0,2.54698760887855,,,,,
CCCCCCCCCCCCCCCC=CC(=O)OC(CO)COC(CO)COC(CO)COC(CO)COC(CO)COC(CO)COC(CO)COC(CO)COC(CO)COC(CO)CO,non-ionic,25.0,4.67592342026051,,,,,
CCCCCCCCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,non-ionic,24.85,4.67778070526608,,,,,
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOCOOCCOCCOCCCCCC,non-ionic,25.0,4.94385773794095,,,,,
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,non-ionic,24.85,4.01322826573376,,,,,
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,non-ionic,24.85,5.4089353929735,,,,,
CCCCCCCCCCCCOCOC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,non-ionic,25.0,3.36997914888659,,,,,
CCCCCCCCCCCCOOC(O)(C(O)C(O)C(O)C(O)C(O)CC)C(O)C(O)C(O)C(O)C(O)CO,non-ionic,25.0,3.48201279697492,,,,,
CCCCCCCCCCOOCCOCCOCC,non-ionic,25.0,3.22199353857649,,,,,
CCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCC,non-ionic,25.0,2.51999305704285,,,,,
CCCCCCCCOCOC(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,non-ionic,25.0,2.79588001734408,,,,,
CCCCCCCCOCOC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,non-ionic,25.0,2.58004425151024,,,,,
CCCCCCCCOOCCOCCOCCOCC,non-ionic,25.0,2.06298389253519,,,,,
CCCCCCCCSCC(CO)OCC(O)CO,non-ionic,25.0,2.07099001450604,,,,,
CCCCCCOOCCOCCOCC,non-ionic,25.0,0.980053318321158,,,,,
CCCCCCOOCCOCCOCCOCC,non-ionic,25.0,1.03198428600636,,,,,
CCCCCCOOCCOCCOCCOCCOCCOCC,non-ionic,25.0,1.16399254087447,,,,,
CCCOCCOC(=O)C(N)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,non-ionic,25.0,3.82390874094432,,,,,
COCCOCCOCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,non-ionic,25.0,2.69897000433602,,,,,
CCCCCCCC/C=C/CCCCCCCC(=O)O[C@@]1(OC2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,25.0,5.29242982390206,,,,,
CCCCCCCC/C=C\CCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sugar-based non-ionic,25.0,4.69897000433602,,,,,
CCCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,zwitterionic,25.0,5.2291,,,,,
CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC,zwitterionic,25.0,5.3665,,,,,
CCCCCCCCCC[N+](C)(C)CCCCCC(=O)[O-],zwitterionic,25.0,2.58502665202918,,,,,
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.67778070526608,34.8,,,37.2,3.09
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25.0,2.20065945054642,29.8,3e-06,0.55,42.2,3.2
CC(C)(C)OCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.85698519974591,44.0,1.1e-06,1.51,28.0,3.18
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25.0,1.78701381526333,39.2,2.9e-06,0.57,32.8,2.2
CCCCCCCCCCCCS(=O)(=O)[O-].[Li+],anionic,25.0,1.95860731484178,39.0,2.9e-06,0.57,33.0,2.41
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Na+],anionic,25.0,1.52287874528034,20.2,2.8e-06,0.59,51.8,2.57
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],anionic,25.0,1.53760200210104,20.6,3.9e-06,0.43,51.4,2.51
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,1.52287874528034,24.6,4e-06,0.42,47.4,2.5
CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],anionic,25.0,1.87942606879415,35.2,1.55e-06,1.07,36.8,2.85
CCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25.0,2.60205999132796,41.0,2.9e-06,0.572599678335809,31.0,3.05
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.53760200210104,41.4,2.6e-06,0.64,30.6,2.94
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25.0,2.4089353929735,41.1,3.2e-06,0.52,30.9,3.73
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.92081875395238,36.9,9.7e-07,1.708,35.07,6.28
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.79588001734408,33.7,1.17e-06,1.414,38.27,6.17
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.52287874528034,34.1,1.29e-06,1.288,37.87,5.73
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OS(=O)[O-])cc1.[Na+],anionic,25.0,4.22914798835786,34.4,1.66e-06,1.001,37.57,5.17
CCCC(F)(OS(=O)(=O)[O-])C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,3.32799455497705,20.0,1.77e-06,0.94,52.0,4.91136954049497
CCCC(OS(=O)(=O)[O-])C(F)C(F)(F)C(F)(F)F.[Na+],anionic,25.0,2.39804859586648,18.0,2.06e-06,0.8,54.0,3.84355082020611
